dataset_index,source_file,source_basename,source_parent,form_type,matched_intermediate,batch_index,record_id,review_required,num_rows,output_form_type
47,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2\สส 5_18 หน่วยที่ 2.pdf,สส 5_18 หน่วยที่ 2.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,constituency,True,47,file_00047,True,6,constituency
48,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3\สส 5_18 บช หน่วยที่ 3.pdf,สส 5_18 บช หน่วยที่ 3.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,party_list,True,48,file_00048,True,10,party_list
49,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3\สส 5_18 หน่วยที่ 3.pdf,สส 5_18 หน่วยที่ 3.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,constituency,True,49,file_00049,True,6,constituency
50,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 4\สส 5_18 บช หน่วยที่ 4.pdf,สส 5_18 บช หน่วยที่ 4.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 4,party_list,True,50,file_00050,True,3,party_list
51,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 4\สส 5_18 หน่วยที่ 4.pdf,สส 5_18 หน่วยที่ 4.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 4,constituency,True,51,file_00051,True,6,constituency
52,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 5\สส 5_18 บช หน่วยที่ 5.pdf,สส 5_18 บช หน่วยที่ 5.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 5,party_list,True,52,file_00052,True,10,party_list
53,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 5\สส 5_18 หน่วยที่ 5.pdf,สส 5_18 หน่วยที่ 5.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 5,constituency,True,53,file_00053,True,6,constituency
54,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 6\สส 5_18 บช หน่วยที่ 6.pdf,สส 5_18 บช หน่วยที่ 6.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 6,party_list,True,54,file_00054,True,10,party_list
55,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 6\สส 5_18 หน่วยที่ 6.pdf,สส 5_18 หน่วยที่ 6.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 6,constituency,True,55,file_00055,True,6,constituency
56,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 7\สส 5_18 บช หน่วยที่ 7.pdf,สส 5_18 บช หน่วยที่ 7.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 7,party_list,True,56,file_00056,True,10,party_list
57,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 7\สส 5_18 หน่วยที่ 7.pdf,สส 5_18 หน่วยที่ 7.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 7,constituency,True,57,file_00057,True,6,constituency
58,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 8\สส 5_18 บช หน่วยที่ 8.pdf,สส 5_18 บช หน่วยที่ 8.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 8,party_list,True,58,file_00058,True,9,party_list
59,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 8\สส 5_18 หน่วยที่ 8.pdf,สส 5_18 หน่วยที่ 8.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 8,constituency,True,59,file_00059,True,6,constituency
60,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 9\สส 5_18 บช หน่วยที่ 9.pdf,สส 5_18 บช หน่วยที่ 9.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 9,party_list,True,60,file_00060,True,10,party_list
61,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 9\สส 5_18 หน่วย 9.pdf,สส 5_18 หน่วย 9.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 9,constituency,True,61,file_00061,True,3,constituency
62,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 1\สส 5_18 หน่วยที่1.pdf,สส 5_18 หน่วยที่1.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 1,constituency,True,62,file_00062,True,2,constituency
63,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 1\สส5_18 บช หน่วยที่1.pdf,สส5_18 บช หน่วยที่1.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 1,party_list,True,63,file_00063,True,10,party_list
64,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 10\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 10,party_list,True,64,file_00064,True,12,party_list
65,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 10\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 10,constituency,True,65,file_00065,True,5,constituency
66,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 11\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 11,party_list,True,66,file_00066,True,10,party_list
67,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 11\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 11,constituency,True,67,file_00067,True,6,constituency
68,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 2\สส 5_18.pdf,สส 5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 2,constituency,True,68,file_00068,True,6,constituency
69,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 2\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 2,party_list,True,69,file_00069,True,10,party_list
70,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 3\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 3,party_list,True,70,file_00070,True,10,party_list
71,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 3\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 3,constituency,True,71,file_00071,True,6,constituency
72,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 4\สส 5_18 บช.pdf,สส 5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 4,party_list,True,72,file_00072,True,8,party_list
73,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 4\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 4,constituency,True,73,file_00073,True,5,constituency
74,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 5\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 5,party_list,True,74,file_00074,True,10,party_list
75,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 5\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 5,constituency,True,75,file_00075,True,5,constituency
76,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 6\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 6,constituency,True,76,file_00076,True,6,constituency
77,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 6\สส5_18บช.pdf,สส5_18บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 6,party_list,True,77,file_00077,True,11,party_list
78,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 7\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 7,party_list,True,78,file_00078,True,10,party_list
79,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 7\สส5_18.pdf,สส5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 7,constituency,True,79,file_00079,True,2,constituency
80,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 8\สส 5_18.pdf,สส 5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 8,constituency,True,80,file_00080,True,4,constituency
81,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 8\สส5_18 บช.pdf,สส5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 8,party_list,True,81,file_00081,True,11,party_list
82,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 9\สส 5_18 บช.pdf,สส 5_18 บช.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 9,party_list,True,82,file_00082,True,9,party_list
83,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 9\สส 5_18.pdf,สส 5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 9,constituency,True,83,file_00083,True,5,constituency
84,election_data\อำเภอทุ่งศรีอุดม\ตำบลหนองอ้ม\หน่วยที่ 1\สส.5_18.pdf,สส.5_18.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลหนองอ้ม\หน่วยที่ 1,constituency,True,84,file_00084,True,6,constituency
